,Time[sec],u[ft/s],v[ft/s],w[ft/s],p[rad/s],q[rad/s],r[rad/s],x[ft],y[ft],Altitude[ft],Bank_Angle[deg],Elevation_Angle[deg],Heading_Angle[deg],Gust_xf[ft/s],Gust_yf[ft/s],Gust_zf[ft/s]
0,0.0,15.85731878709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4761.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.05,15.85087895556,0.0,1.511924429569,0.0,-0.04802283692249,0.0,0.7926227091221,0.0,4760.961427454,0.0,-0.05550230445193,0.0,0.0,0.0,0.0
2,0.1,15.86421966497,0.0,2.965071935102,0.0,-0.1040524819456,0.0,1.585073762268,0.0,4760.8472306,0.0,-0.2735135607671,0.0,0.0,0.0,0.0
3,0.15,15.89962090557,0.0,4.368137729037,0.0,-0.160862984251,0.0,2.377652442114,0.0,4760.65738616,0.0,-0.6518271056365,0.0,0.0,0.0,0.0
4,0.2,15.7932455349,0.0,5.541720556702,0.0,-0.2476451755044,0.0,3.167514512007,0.0,4760.394738439,0.0,-1.218692670944,0.0,0.0,0.0,0.0
5,0.25,15.20145484683,0.0,5.981000998046,0.0,-0.4282053814904,0.0,3.935446550692,0.0,4760.081141347,0.0,-2.164988488674,0.0,0.0,0.0,0.0
6,0.3,14.46747508538,0.0,5.941510019638,0.0,-0.6490808953367,0.0,4.661084197477,0.0,4759.744987775,0.0,-3.704752813034,0.0,0.0,0.0,0.0
7,0.35,13.85160312868,0.0,5.745557719998,0.0,-0.8657717970822,0.0,5.341789669507,0.0,4759.395119718,0.0,-5.877366272646,0.0,0.0,0.0,0.0
8,0.4,13.42691591274,0.0,5.514573278534,0.0,-1.065917008431,0.0,5.982140673718,0.0,4759.030370213,0.0,-8.64866425047,0.0,0.0,0.0,0.0
9,0.45,13.21915097809,0.0,5.295198998217,0.0,-1.245860085108,0.0,6.58854624679,0.0,4758.646107561,0.0,-11.96509842007,0.0,0.0,0.0,0.0
10,0.5,13.24995531076,0.0,5.110983952378,0.0,-1.402704929816,0.0,7.167887497281,0.0,4758.235817542,0.0,-15.76482850309,0.0,0.0,0.0,0.0
11,0.55,13.54703245287,0.0,4.977134467555,0.0,-1.532134511477,0.0,7.727180186692,0.0,4757.791078258,0.0,-19.97577097467,0.0,0.0,0.0,0.0
12,0.6,14.13511997197,0.0,4.894014550015,0.0,-1.629731223009,0.0,8.273239926112,0.0,4757.301460644,0.0,-24.51262512294,0.0,0.0,0.0,0.0
13,0.65,15.01453073453,0.0,4.831404804855,0.0,-1.69466390653,0.0,8.811975821382,0.0,4756.75545577,0.0,-29.28174888796,0.0,0.0,0.0,0.0
14,0.7,16.14566533023,0.0,4.723504381175,0.0,-1.732440806851,0.0,9.347604809253,0.0,4756.142588208,0.0,-34.1960222987,0.0,0.0,0.0,0.0
15,0.75,17.4584130067,0.0,4.48847015691,0.0,-1.753160010245,0.0,9.882398086604,0.0,4755.45557019,0.0,-39.19161400897,0.0,0.0,0.0,0.0
16,0.8,18.88279209752,0.0,4.061214464464,0.0,-1.765782577307,0.0,10.41717145901,0.0,4754.69082762,0.0,-44.23335366529,0.0,0.0,0.0,0.0
17,0.85,20.36767784224,0.0,3.40629194846,0.0,-1.774721481046,0.0,10.95203871988,0.0,4753.847196988,0.0,-49.30541273719,0.0,0.0,0.0,0.0
18,0.9,21.87533085247,0.0,2.50755890987,0.0,-1.78115175269,0.0,11.48688258192,0.0,4752.924443994,0.0,-54.39940154347,0.0,0.0,0.0,0.0
19,0.95,23.37185852477,0.0,1.357828237243,0.0,-1.785113157871,0.0,12.02151684965,0.0,4751.922565534,0.0,-59.50830888084,0.0,0.0,0.0,0.0
20,1.0,24.82361041465,0.0,-0.04454965571421,0.0,-1.786421989455,0.0,12.55572359529,0.0,4750.841607718,0.0,-64.62481271643,0.0,0.0,0.0,0.0
21,1.05,26.19699536374,0.0,-1.696195043093,0.0,-1.784886066004,0.0,13.08926160697,0.0,4749.681636853,0.0,-69.74103470063,0.0,0.0,0.0,0.0
22,1.1,27.45915040877,0.0,-3.58871918471,0.0,-1.780325282088,0.0,13.62186985977,0.0,4748.442737203,0.0,-74.84857017319,0.0,0.0,0.0,0.0
23,1.15,28.57769122127,0.0,-5.707948748236,0.0,-1.772300318389,0.0,14.15325821854,0.0,4747.125024049,0.0,-79.93833653928,0.0,0.0,0.0,0.0
24,1.2,29.49556508646,0.0,-8.007082349414,0.0,-1.754090164778,0.0,14.68274579152,0.0,4745.729000363,0.0,-84.99545093619,0.0,0.0,0.0,0.0
25,1.25,29.82067447784,0.0,-9.983642810597,0.0,-1.640034465744,0.0,15.20172200109,0.0,4744.262596562,0.0,-89.90862961375,0.0,0.0,0.0,0.0
26,1.3,29.02380113652,0.0,-10.40861704777,0.0,-1.281672600568,0.0,15.66420120667,0.0,4742.76949121,180.0,-85.85042810576,180.0,0.0,0.0,0.0
27,1.35,28.22633289741,0.0,-10.03957470465,0.0,-0.8799704343414,0.0,16.03051921581,0.0,4741.295045573,180.0,-82.75687886831,180.0,0.0,0.0,0.0
28,1.4,27.99566759552,0.0,-9.650714053158,0.0,-0.5586141449841,0.0,16.31383324458,0.0,4739.835305604,180.0,-80.71532954879,180.0,0.0,0.0,0.0
29,1.45,28.30040769809,0.0,-9.395425927242,0.0,-0.3232232143684,0.0,16.53913365513,0.0,4738.368725955,180.0,-79.46964670145,180.0,0.0,0.0,0.0
30,1.5,29.01035500372,0.0,-9.254226429358,0.0,-0.1554423855791,0.0,16.72576086856,0.0,4736.875064622,180.0,-78.79729029466,180.0,0.0,0.0,0.0
31,1.55,30.0110141001,0.0,-9.182333983539,0.0,-0.03712710318207,0.0,16.88689672453,0.0,4735.338652932,180.0,-78.53114392905,180.0,0.0,0.0,0.0
32,1.6,31.21656368917,0.0,-9.141447089529,0.0,0.04582373225202,0.0,17.03129644677,0.0,4733.748111407,180.0,-78.5505358097,180.0,0.0,0.0,0.0
33,1.65,32.56431324055,0.0,-9.103164315473,0.0,0.1038833307957,0.0,17.16473580564,0.0,4732.095462052,180.0,-78.7698458991,180.0,0.0,0.0,0.0
34,1.7,34.00870011641,0.0,-9.047390705361,0.0,0.1447269333279,0.0,17.29099109643,0.0,4730.375292114,180.0,-79.12930388249,180.0,0.0,0.0,0.0
35,1.75,35.51695022939,0.0,-8.960362767766,0.0,0.1738860621587,0.0,17.41249505399,0.0,4728.584067242,180.0,-79.5879414404,180.0,0.0,0.0,0.0
36,1.8,37.06588430573,0.0,-8.83295034095,0.0,0.195249979909,0.0,17.53078587881,0.0,4726.719588347,180.0,-80.11818780679,180.0,0.0,0.0,0.0
37,1.85,38.63940365412,0.0,-8.659280359411,0.0,0.2114729871672,0.0,17.646817803,0.0,4724.780575719,180.0,-80.70176169714,180.0,0.0,0.0,0.0
38,1.9,40.22647088472,0.0,-8.435676582679,0.0,0.224310157549,0.0,17.76117373515,0.0,4722.766362836,180.0,-81.32662790583,180.0,0.0,0.0,0.0
39,1.95,41.81953000905,0.0,-8.159895936585,0.0,0.2348857788617,0.0,17.87420735264,0.0,4720.676680346,180.0,-81.98482030021,180.0,0.0,0.0,0.0
40,2.0,43.41332700598,0.0,-7.830618324454,0.0,0.2438976977813,0.0,17.98613514345,0.0,4718.511509821,180.0,-82.67094148048,180.0,0.0,0.0,0.0
41,2.05,45.00407335002,0.0,-7.447131036257,0.0,0.2517651846738,0.0,18.09709409928,0.0,4716.270988454,180.0,-83.38116495361,180.0,0.0,0.0,0.0
42,2.1,46.58888141172,0.0,-7.009148409263,0.0,0.2587311599457,0.0,18.20717672507,0.0,4713.955349013,180.0,-84.11259292223,180.0,0.0,0.0,0.0
43,2.15,48.16540106593,0.0,-6.51671743447,0.0,0.2649301516053,0.0,18.31645162336,0.0,4711.564883132,180.0,-84.86285529696,180.0,0.0,0.0,0.0
44,2.2,49.73159701151,0.0,-5.970173491014,0.0,0.2704319822178,0.0,18.42497522189,0.0,4709.099919464,180.0,-85.6298665055,180.0,0.0,0.0,0.0
