,Time[sec],u[ft/s],v[ft/s],w[ft/s],p[rad/s],q[rad/s],r[rad/s],x[ft],y[ft],Altitude[ft],Bank_Angle[deg],Elevation_Angle[deg],Heading_Angle[deg],Gust_xf[ft/s],Gust_yf[ft/s],Gust_zf[ft/s]
0,0.0,12.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4761.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.05,12.5287896136,0.0,0.1840021294604,0.0,-0.01522279412568,0.0,0.6271377539973,0.0,4760.994698462,0.0,-0.01621180826281,0.0,0.0,0.0,0.0
2,0.1,12.51162929091,0.0,0.2692003826503,0.0,-0.03624269454863,0.0,1.253086725481,0.0,4760.982539891,0.0,-0.08954684521282,0.0,0.0,0.0,0.0
3,0.15,12.50397171827,0.0,0.3056353950133,0.0,-0.05557099609313,0.0,1.878400114891,0.0,4760.966368938,0.0,-0.2216493954261,0.0,0.0,0.0,0.0
4,0.2,12.50365751217,0.0,0.3181068035012,0.0,-0.07128295803363,0.0,2.503467407634,0.0,4760.947327989,0.0,-0.4042179825104,0.0,0.0,0.0,0.0
5,0.25,12.50996604831,0.0,0.3190912780679,0.0,-0.0831609145186,0.0,3.128612176761,0.0,4760.925770869,0.0,-0.6262897169588,0.0,0.0,0.0,0.0
6,0.3,12.52283474036,0.0,0.3146158908179,0.0,-0.09163908609654,0.0,3.754142884282,0.0,4760.90172284,0.0,-0.8774016858545,0.0,0.0,0.0,0.0
7,0.35,12.54241185647,0.0,0.3074081655102,0.0,-0.09731651036005,0.0,4.380372868509,0.0,4760.875101867,0.0,-1.14865512951,0.0,0.0,0.0,0.0
8,0.4,12.5688406393,0.0,0.2985728366826,0.0,-0.1007545994964,0.0,5.007624730547,0.0,4760.845817911,0.0,-1.432846352445,0.0,0.0,0.0,0.0
9,0.45,12.60217278947,0.0,0.2884670133749,0.0,-0.1024109164797,0.0,5.636227899982,0.0,4760.813811932,0.0,-1.724240261252,0.0,0.0,0.0,0.0
10,0.5,12.64234600824,0.0,0.2771423769505,0.0,-0.1026332427596,0.0,6.266513804379,0.0,4760.779066637,0.0,-2.01825428027,0.0,0.0,0.0,0.0
11,0.55,12.68918960067,0.0,0.2645576086768,0.0,-0.1016765018516,0.0,6.898810672071,0.0,4760.74160525,0.0,-2.311164622854,0.0,0.0,0.0,0.0
12,0.6,12.74244003976,0.0,0.2506721349186,0.0,-0.09972517154193,0.0,7.533438792038,0.0,4760.701486119,0.0,-2.599871874363,0.0,0.0,0.0,0.0
13,0.65,12.8017581789,0.0,0.2354809324262,0.0,-0.09691394769185,0.0,8.170706484211,0.0,4760.658796719,0.0,-2.881729440666,0.0,0.0,0.0,0.0
14,0.7,12.86674478641,0.0,0.2190217826725,0.0,-0.09334429094175,0.0,8.810906783674,0.0,4760.613648399,0.0,-3.154425615591,0.0,0.0,0.0,0.0
15,0.75,12.93695344826,0.0,0.2013709479686,0.0,-0.0890966500298,0.0,9.454314748236,0.0,4760.566172257,0.0,-3.415906817216,0.0,0.0,0.0,0.0
16,0.8,13.01190091102,0.0,0.1826350297537,0.0,-0.08423898199435,0.0,10.1011852769,0.0,4760.516516081,0.0,-3.664330370387,0.0,0.0,0.0,0.0
17,0.85,13.09107530197,0.0,0.1629425104121,0.0,-0.07883239522395,0.0,10.75175133553,0.0,4760.464842113,0.0,-3.89803739017,0.0,0.0,0.0,0.0
