,Id,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain,Edu_Cat,Mat_Cat
0,1826,0.0996709076040616,Graduation,Divorced,1.29593387098046,0,0,6/16/2014,-1.69600071204959,-0.341539716877729,1.9539453741397,0.939667272472124,1.34527425622849,3.9237222968615,3.33573922794788,-0.685886624912698,-0.0305322403700359,0.457817001553756,0.0645558232357498,-1.77919789311166,1,0,2,2
1,1,-0.651493764283058,Graduation,Single,0.192304336210416,0,0,6/15/2014,-1.69600071204959,0.475642502983844,-0.535709057059602,-0.456207242164608,-0.558902303507259,-0.65573310109484,-0.134632695295725,-0.685886624912698,1.04934489271755,0.115638128186918,0.372226129721025,-0.130463471529234,1,0,2,4
2,10476,-0.901881988245431,Graduation,Married,0.597095791870018,0,1,5/13/2014,-1.69600071204959,-0.504976160850044,-0.384820909714189,-0.478363980492176,-0.412427183527587,-0.607273255613821,-0.268845974095201,-0.685886624912698,-0.390491284732563,-0.22654074517992,-0.243114483249526,-1.36701428771605,0,0,2,3
3,1386,-0.150717316358312,Graduation,Together,-0.786936157497566,1,1,11/5/2014,-1.69600071204959,-0.873451052714899,-0.661449179847445,-0.735382145091955,-0.687068033489473,-0.65573310109484,-0.844045740378671,-0.685886624912698,-1.11040937345762,-0.910898491913595,-1.16612540270535,0.693903739261978,0,0,2,5
4,5371,1.68546299269909,Graduation,Single,-1.22450553763275,1,0,8/4/2014,-1.69600071204959,-0.885337339549249,-0.259080786926345,-0.633461148785146,-0.485664743517423,-0.65573310109484,-0.192152671924072,-0.168236341959718,-0.390491284732563,-0.568719618546757,-1.16612540270535,0.693903739261978,1,0,2,4
5,7348,-0.901881988245431,PhD,Single,0.773078240753478,0,0,3/17/2014,-1.69600071204959,0.0952813242846389,2.60779401263649,1.08147039776855,3.70718556590071,0.119624426601472,-0.0195927420390307,-0.685886624912698,-0.0305322403700359,1.48435362165427,-0.243114483249526,-1.36701428771605,1,0,4,4
6,4073,-1.2357329535286,2n Cycle,Married,0.449794026902693,0,0,1/29/2014,-1.69600071204959,1.38197187410304,1.35039278475805,0.376886118951918,-0.412427183527587,0.168084272082492,0.40222041990218,-0.685886624912698,2.12922202580513,2.51089024175478,0.372226129721025,0.281720133866372,1,0,0,3
7,1991,-0.150717316358312,Graduation,Together,-0.29140872401175,0,1,1/18/2014,-1.69600071204959,-0.671384176530946,-0.661449179847445,-0.691068668436821,-0.687068033489473,-0.65573310109484,-0.709832461579194,-0.685886624912698,-0.75045032909509,-0.568719618546757,-0.858455096220076,-0.130463471529234,0,0,2,5
8,4047,-1.2357329535286,PhD,Married,0.519805127724322,0,1,11/1/2014,-1.69600071204959,0.237916766296841,-0.661449179847445,-0.287816030875098,-0.302570843542832,0.119624426601472,-0.748179112664759,0.349413940993261,0.689385848355018,-0.22654074517992,0.987566742691576,-0.54264707692484,0,0,4,3
9,9477,-1.2357329535286,PhD,Married,0.519805127724322,0,1,11/1/2014,-1.69600071204959,0.237916766296841,-0.661449179847445,-0.287816030875098,-0.302570843542832,0.119624426601472,-0.748179112664759,0.349413940993261,0.689385848355018,-0.22654074517992,0.987566742691576,-0.54264707692484,0,0,4,3
10,2079,-1.81997214277413,2n Cycle,Married,1.14513155097206,0,0,12/27/2013,-1.69600071204959,0.434040499063618,-0.00760054135065806,1.63095750829222,0.649517436325041,1.71879932747512,-0.34553927626633,-0.685886624912698,0.329426803992491,1.14217474828743,1.29523704917685,-1.77919789311166,0,0,0,3
11,5642,0.850835579491181,Master,Together,0.407429355098695,1,0,9/12/2013,-1.69600071204959,-0.487146730598519,-0.56085708161717,-0.469501285161149,-0.687068033489473,-0.340744105468213,-0.767352438207541,-0.168236341959718,-0.390491284732563,-0.568719618546757,0.0645558232357498,-0.54264707692484,0,0,3,5
